code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
01025,Bâgé-Dommartin,01,Ain,Auvergne-Rhône-Alpes,46.35299970729882,4.974055235943547,images\image_0_heading_0.jpg,images\image_0_heading_1.jpg,images\image_0_heading_2.jpg,images\image_0_heading_3.jpg
01034,Belley,01,Ain,Auvergne-Rhône-Alpes,45.761882378842934,5.697104605414971,images\image_2_heading_0.jpg,images\image_2_heading_1.jpg,images\image_2_heading_2.jpg,images\image_2_heading_3.jpg
01066,La Burbanche,01,Ain,Auvergne-Rhône-Alpes,45.846981772184066,5.559296253995818,images\image_3_heading_0.jpg,images\image_3_heading_1.jpg,images\image_3_heading_2.jpg,images\image_3_heading_3.jpg
01053,Bourg-en-Bresse,01,Ain,Auvergne-Rhône-Alpes,46.20936624470703,5.245347366571418,images\image_4_heading_0.jpg,images\image_4_heading_1.jpg,images\image_4_heading_2.jpg,images\image_4_heading_3.jpg
01029,Beaupont,01,Ain,Auvergne-Rhône-Alpes,46.413616250360775,5.279951943921404,images\image_5_heading_0.jpg,images\image_5_heading_1.jpg,images\image_5_heading_2.jpg,images\image_5_heading_3.jpg
01036,Valromey-sur-Séran,01,Ain,Auvergne-Rhône-Alpes,45.88126933816161,5.672721037606439,images\image_6_heading_0.jpg,images\image_6_heading_1.jpg,images\image_6_heading_2.jpg,images\image_6_heading_3.jpg
01036,Valromey-sur-Séran,01,Ain,Auvergne-Rhône-Alpes,45.88165074049209,5.666949373173339,images\image_7_heading_0.jpg,images\image_7_heading_1.jpg,images\image_7_heading_2.jpg,images\image_7_heading_3.jpg
01066,La Burbanche,01,Ain,Auvergne-Rhône-Alpes,45.85449025566279,5.54228213645512,images\image_10_heading_0.jpg,images\image_10_heading_1.jpg,images\image_10_heading_2.jpg,images\image_10_heading_3.jpg
01038,Bény,01,Ain,Auvergne-Rhône-Alpes,46.31461016580953,5.300151663801354,images\image_11_heading_0.jpg,images\image_11_heading_1.jpg,images\image_11_heading_2.jpg,images\image_11_heading_3.jpg
01079,Champagne-en-Valromey,01,Ain,Auvergne-Rhône-Alpes,45.91006151665019,5.67577205579816,images\image_12_heading_0.jpg,images\image_12_heading_1.jpg,images\image_12_heading_2.jpg,images\image_12_heading_3.jpg
01365,Saint-Jean-sur-Veyle,01,Ain,Auvergne-Rhône-Alpes,46.26849819246725,4.927948642675969,images\image_13_heading_0.jpg,images\image_13_heading_1.jpg,images\image_13_heading_2.jpg,images\image_13_heading_3.jpg
01053,Bourg-en-Bresse,01,Ain,Auvergne-Rhône-Alpes,46.20080016451641,5.208703318969063,images\image_14_heading_0.jpg,images\image_14_heading_1.jpg,images\image_14_heading_2.jpg,images\image_14_heading_3.jpg
01075,Chaleins,01,Ain,Auvergne-Rhône-Alpes,46.0512141696703,4.806623763500829,images\image_15_heading_0.jpg,images\image_15_heading_1.jpg,images\image_15_heading_2.jpg,images\image_15_heading_3.jpg
01027,Balan,01,Ain,Auvergne-Rhône-Alpes,45.8371338815899,5.093454587141551,images\image_16_heading_0.jpg,images\image_16_heading_1.jpg,images\image_16_heading_2.jpg,images\image_16_heading_3.jpg
01024,Attignat,01,Ain,Auvergne-Rhône-Alpes,46.26033750877643,5.171134968537059,images\image_17_heading_0.jpg,images\image_17_heading_1.jpg,images\image_17_heading_2.jpg,images\image_17_heading_3.jpg
01027,Balan,01,Ain,Auvergne-Rhône-Alpes,45.83486674826111,5.095557618232652,images\image_18_heading_0.jpg,images\image_18_heading_1.jpg,images\image_18_heading_2.jpg,images\image_18_heading_3.jpg
01061,Brens,01,Ain,Auvergne-Rhône-Alpes,45.71701879573628,5.687254192150339,images\image_19_heading_0.jpg,images\image_19_heading_1.jpg,images\image_19_heading_2.jpg,images\image_19_heading_3.jpg
02211,Condé-sur-Suippe,02,Aisne,Hauts-de-France,49.41259336135209,3.935572438705312,images\image_20_heading_0.jpg,images\image_20_heading_1.jpg,images\image_20_heading_2.jpg,images\image_20_heading_3.jpg
02643,Ressons-le-Long,02,Aisne,Hauts-de-France,49.39146969653066,3.1621605116361517,images\image_21_heading_0.jpg,images\image_21_heading_1.jpg,images\image_21_heading_2.jpg,images\image_21_heading_3.jpg
02399,Juvincourt-et-Damary,02,Aisne,Hauts-de-France,49.43142969340291,3.8857148564056376,images\image_22_heading_0.jpg,images\image_22_heading_1.jpg,images\image_22_heading_2.jpg,images\image_22_heading_3.jpg
